Destination,State,Terrain,Remoteness_1to5,Area_Risk_Level,Num_People,Time_of_Visit,Mode_of_Travel,Age,Gender,Purpose,Inside_Restricted_Zone,Weather,Connectivity,Distance_to_Safe_Zone_km,Distance_to_High_Risk_Zone_km,Risk_Score,Safety_Score
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,36-45,Male,Sightseeing,1,Clear,Poor,11.73,0.21,0.875,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,46+,Male,Trekking,0,Clear,Poor,8.96,0.54,0.727,High
Kohima,Nagaland,City,1,Low,2,Day,Bike,26-35,Female,Pilgrimage,0,Clear,Good,2.38,0.68,0.289,Medium
Kamakhya Temple,Assam,Temple,1,Low,2,Night,Cab,18-25,Male,Night Stay,0,Clear,Good,1.21,1.6,0.414,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Bus,36-45,Male,Trekking,1,Clear,Poor,9.23,1.1,1,Extreme
Gangtok,Sikkim,City,1,Low,2,Day,Cab,46+,Female,Sightseeing,1,Clear,Good,2.43,2.09,0.393,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Day,Bus,18-25,Male,Sightseeing,1,Clear,Good,1.42,1.88,0.288,Medium
Imphal,Manipur,City,1,Low,5,Day,Bus,18-25,Female,Trekking,0,Rain,Good,2.69,2.93,0.27,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,1,Day,Trekking,26-35,Male,Pilgrimage,0,Rain,Poor,10.62,1.31,0.977,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Cab,46+,Male,Pilgrimage,0,Clear,Good,2.49,1.07,0.161,Low
Kohima,Nagaland,City,1,Low,4,Night,Cab,36-45,Male,Night Stay,0,Rain,Good,1.33,0.57,0.453,Medium
Gangtok,Sikkim,City,1,Low,4,Day,Bus,18-25,Male,Pilgrimage,0,Clear,Good,0.79,2.75,0.113,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Night,Cab,18-25,Male,Night Stay,0,Fog,Good,2.16,0.81,0.449,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Cab,36-45,Female,Night Stay,0,Clear,Good,2.37,0.94,0.187,Low
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,36-45,Female,Trekking,0,Clear,Poor,8.1,0.4,0.741,High
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Night,Bus,18-25,Female,Night Stay,0,Clear,Moderate,5.23,0.54,0.671,High
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,46+,Female,Trekking,1,Rain,Moderate,4.75,2.25,0.712,High
Tripura Sundari Temple,Tripura,Temple,1,Low,2,Day,Cab,26-35,Male,Pilgrimage,0,Fog,Good,2.5,2.17,0.248,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,46+,Female,Trekking,0,Clear,Good,2.09,2.41,0.2,Low
Gangtok,Sikkim,City,1,Low,3,Night,Trekking,46+,Male,Night Stay,0,Clear,Good,0.88,1.46,0.508,High
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Bus,46+,Female,Pilgrimage,0,Rain,Good,1.96,2.24,0.223,Low
Aizawl,Mizoram,City,1,Low,3,Night,Trekking,46+,Male,Night Stay,0,Rain,Good,1.85,2.34,0.629,High
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Cab,26-35,Female,Pilgrimage,0,Fog,Poor,10.07,1.28,0.772,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,46+,Male,Sightseeing,1,Clear,Poor,7.65,0.4,0.843,Extreme
Aizawl,Mizoram,City,1,Low,5,Night,Cab,36-45,Female,Night Stay,0,Clear,Good,2.88,1.06,0.393,Medium
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,18-25,Male,Trekking,0,Clear,Poor,5.8,1.43,0.674,High
Imphal,Manipur,City,1,Low,5,Day,Bus,26-35,Male,Trekking,0,Clear,Good,2.19,2.9,0.179,Low
Majuli Island,Assam,Island,3,Medium,5,Night,Bus,26-35,Male,Night Stay,0,Clear,Moderate,5.13,1,0.6,High
Kohima,Nagaland,City,1,Low,2,Night,Trekking,18-25,Female,Pilgrimage,0,Rain,Good,2.27,1.59,0.576,High
Gangtok,Sikkim,City,1,Low,5,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,2.84,1.2,0.116,Low
Aizawl,Mizoram,City,1,Low,5,Day,Bus,36-45,Male,Pilgrimage,0,Rain,Good,1.35,2.7,0.185,Low
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Cab,26-35,Male,Trekking,0,Rain,Poor,9.52,0.79,0.779,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Bus,46+,Male,Night Stay,1,Clear,Poor,11.98,0.87,1,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Cab,36-45,Male,Sightseeing,0,Rain,Poor,9.83,0.37,0.764,Extreme
Nathula Pass,Sikkim,High Pass,5,High,3,Day,Cab,18-25,Male,Night Stay,0,Clear,Poor,6.92,1.46,0.797,Extreme
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Male,Sightseeing,0,Clear,Good,0.63,2.85,0.155,Low
Aizawl,Mizoram,City,1,Low,3,Day,Bike,46+,Male,Sightseeing,0,Clear,Good,1.12,1.9,0.278,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Day,Cab,46+,Female,Pilgrimage,0,Clear,Poor,5.42,1.44,0.742,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Day,Bus,36-45,Male,Trekking,1,Clear,Good,1.63,1.98,0.427,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Cab,46+,Male,Trekking,0,Clear,Poor,11.54,0.7,0.961,Extreme
Gangtok,Sikkim,City,1,Low,3,Day,Trekking,26-35,Male,Sightseeing,0,Clear,Good,1.67,1.26,0.262,Medium
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,46+,Male,Sightseeing,1,Rain,Poor,6.6,1.04,0.937,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,36-45,Male,Trekking,1,Clear,Poor,9.1,0.99,0.919,Extreme
Imphal,Manipur,City,1,Low,5,Night,Bus,46+,Female,Night Stay,0,Rain,Good,1.22,2.86,0.447,Medium
Darjeeling,West Bengal,Hill Town,2,Low,3,Night,Trekking,18-25,Female,Night Stay,0,Clear,Good,2.97,2.14,0.563,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Good,1.6,2.25,0.159,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Cab,26-35,Female,Sightseeing,0,Rain,Poor,8.23,0.26,0.784,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,36-45,Female,Pilgrimage,1,Rain,Poor,11.45,0.81,0.98,Extreme
Gangtok,Sikkim,City,1,Low,5,Night,Bus,46+,Female,Night Stay,0,Clear,Good,3,1.72,0.364,Medium
Imphal,Manipur,City,1,Low,5,Night,Cab,36-45,Female,Pilgrimage,0,Clear,Good,1.46,2.64,0.326,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,46+,Female,Trekking,0,Clear,Poor,11.09,1.32,0.73,High
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Bus,18-25,Male,Pilgrimage,0,Clear,Good,1.16,2.06,0.32,Medium
Kohima,Nagaland,City,1,Low,5,Day,Bus,46+,Female,Pilgrimage,0,Rain,Good,2.8,2.99,0.201,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,18-25,Female,Trekking,0,Clear,Good,1.23,1.44,0.352,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,26-35,Male,Sightseeing,0,Clear,Moderate,4.33,0.73,0.367,Medium
Kaziranga National Park,Assam,Wildlife,4,High,2,Night,Bike,46+,Female,Trekking,1,Clear,Poor,11.73,1.07,1,Extreme
Aizawl,Mizoram,City,1,Low,4,Day,Bus,46+,Male,Trekking,0,Clear,Good,0.55,2.58,0.159,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,46+,Female,Trekking,0,Clear,Poor,9.74,1.11,0.733,High
Kamakhya Temple,Assam,Temple,1,Low,1,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Good,1.32,1.54,0.333,Medium
Imphal,Manipur,City,1,Low,5,Night,Cab,36-45,Male,Night Stay,0,Clear,Good,2.68,2.51,0.372,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Poor,9.71,1.04,0.692,High
Imphal,Manipur,City,1,Low,1,Night,Bike,18-25,Male,Pilgrimage,0,Rain,Good,1.05,0.66,0.858,Extreme
Nathula Pass,Sikkim,High Pass,5,High,1,Day,Cab,46+,Male,Trekking,1,Clear,Poor,6.64,0.85,1,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,2.23,1.04,0.111,Low
Imphal,Manipur,City,1,Low,2,Night,Bike,18-25,Female,Night Stay,0,Clear,Good,2.56,0.73,0.526,High
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,18-25,Female,Trekking,0,Rain,Poor,8.88,0.92,0.963,Extreme
Shillong,Meghalaya,Hill City,2,Low,5,Day,Cab,18-25,Female,Trekking,0,Clear,Good,2.67,0.83,0.213,Low
Kohima,Nagaland,City,1,Low,2,Night,Trekking,18-25,Male,Night Stay,0,Clear,Good,1.69,2.45,0.517,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,18-25,Female,Pilgrimage,0,Rain,Poor,7.98,0.25,0.76,Extreme
Majuli Island,Assam,Island,3,Medium,2,Day,Trekking,36-45,Male,Sightseeing,0,Clear,Moderate,4.39,0.88,0.518,High
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Cab,26-35,Female,Pilgrimage,0,Clear,Good,2.32,1.28,0.115,Low
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Male,Sightseeing,0,Clear,Good,2.53,1.89,0.144,Low
Kohima,Nagaland,City,1,Low,5,Night,Bus,18-25,Female,Night Stay,0,Clear,Good,0.63,1.22,0.329,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,26-35,Female,Trekking,0,Clear,Good,1.2,1.07,0.179,Low
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Trekking,36-45,Male,Trekking,0,Clear,Poor,6.27,0.3,1,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Bus,18-25,Male,Pilgrimage,0,Clear,Poor,10.44,0.89,0.653,High
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Night,Cab,18-25,Male,Night Stay,0,Clear,Moderate,2.86,1.38,0.623,High
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,36-45,Male,Trekking,1,Clear,Poor,6.48,0.29,0.888,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,2,Day,Cab,46+,Female,Trekking,0,Clear,Poor,9.68,0.6,0.774,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Day,Bus,18-25,Female,Sightseeing,0,Clear,Good,1.54,0.79,0.089,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Good,1.49,1.28,0.124,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,18-25,Male,Trekking,0,Clear,Moderate,5.26,0.74,0.412,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Bus,18-25,Male,Pilgrimage,0,Fog,Good,2.71,2.11,0.218,Low
Kohima,Nagaland,City,1,Low,4,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,1.38,0.69,0.115,Low
Imphal,Manipur,City,1,Low,5,Day,Bus,36-45,Male,Sightseeing,0,Clear,Good,2.48,2.74,0.132,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,36-45,Female,Trekking,0,Clear,Good,2.96,0.71,0.183,Low
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Bus,46+,Male,Night Stay,0,Clear,Good,1.99,2.47,0.397,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,46+,Female,Night Stay,0,Clear,Good,1.33,1.96,0.37,Medium
Aizawl,Mizoram,City,1,Low,4,Night,Bus,26-35,Male,Night Stay,0,Fog,Good,2.26,2.87,0.466,Medium
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,46+,Female,Sightseeing,0,Clear,Moderate,3.95,0.72,0.35,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,18-25,Female,Trekking,0,Rain,Good,2.06,2.76,0.23,Low
Imphal,Manipur,City,1,Low,5,Night,Bus,26-35,Female,Night Stay,0,Fog,Good,2.91,2.46,0.417,Medium
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,2.01,2.68,0.166,Low
Imphal,Manipur,City,1,Low,2,Day,Trekking,18-25,Male,Night Stay,0,Fog,Good,2.58,0.73,0.393,Medium
Imphal,Manipur,City,1,Low,4,Day,Bus,18-25,Female,Sightseeing,0,Clear,Good,1.06,1.3,0.127,Low
Kohima,Nagaland,City,1,Low,3,Day,Bus,26-35,Male,Sightseeing,0,Fog,Good,1.67,2.04,0.2,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.1,2.06,0.155,Low
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Trekking,18-25,Male,Trekking,0,Clear,Poor,6.31,1.04,0.846,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,46+,Female,Sightseeing,1,Rain,Poor,10.52,0.58,1,Extreme
Kohima,Nagaland,City,1,Low,4,Night,Bus,26-35,Male,Night Stay,0,Clear,Good,1.66,2.24,0.393,Medium
Majuli Island,Assam,Island,3,Medium,3,Night,Trekking,46+,Male,Night Stay,0,Rain,Moderate,3.24,1.12,0.846,Extreme
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,26-35,Female,Night Stay,1,Clear,Poor,10.6,0.71,0.918,Extreme
Aizawl,Mizoram,City,1,Low,5,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Good,0.71,1.56,0.139,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Day,Trekking,36-45,Female,Sightseeing,0,Clear,Moderate,4.87,0.58,0.518,High
Imphal,Manipur,City,1,Low,2,Day,Cab,46+,Female,Sightseeing,0,Clear,Good,2.2,2.88,0.194,Low
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Trekking,18-25,Male,Sightseeing,0,Clear,Good,0.58,0.88,0.287,Medium
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Bus,18-25,Male,Night Stay,0,Clear,Good,2.34,1.75,0.412,Medium
Gangtok,Sikkim,City,1,Low,5,Day,Cab,36-45,Female,Trekking,0,Clear,Good,0.81,2.63,0.196,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Bus,18-25,Female,Night Stay,0,Rain,Good,0.89,2.27,0.454,Medium
Imphal,Manipur,City,1,Low,5,Day,Bus,26-35,Male,Trekking,0,Fog,Good,1.93,1.67,0.202,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,18-25,Female,Pilgrimage,0,Fog,Moderate,5.29,0.37,0.416,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Cab,46+,Female,Trekking,0,Fog,Good,2.92,1.58,0.453,Medium
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Bus,26-35,Female,Trekking,0,Rain,Good,2.85,2.74,0.492,Medium
Gangtok,Sikkim,City,1,Low,4,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,2.15,2.3,0.167,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,18-25,Male,Sightseeing,1,Clear,Poor,9,0.97,0.86,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,36-45,Female,Trekking,1,Clear,Poor,5.42,0.72,0.892,Extreme
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,36-45,Female,Night Stay,0,Clear,Good,1.3,1.67,0.173,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Cab,18-25,Female,Pilgrimage,0,Rain,Good,2.53,2.83,0.209,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,46+,Female,Pilgrimage,0,Clear,Moderate,3.83,0.75,0.329,Medium
Nathula Pass,Sikkim,High Pass,5,High,4,Night,Bus,46+,Female,Night Stay,0,Clear,Poor,10.09,1.17,0.948,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Day,Bus,36-45,Female,Sightseeing,0,Clear,Good,2.06,2.03,0.144,Low
Imphal,Manipur,City,1,Low,3,Day,Cab,36-45,Female,Trekking,1,Clear,Good,0.84,1.33,0.416,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,36-45,Female,Trekking,0,Clear,Good,1.77,1.77,0.229,Low
Sandakphu,West Bengal,Trek Peak,4,High,5,Night,Bus,18-25,Female,Night Stay,0,Clear,Poor,10.08,1.06,0.9,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Cab,18-25,Female,Trekking,1,Clear,Poor,10.75,0.44,0.976,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Night,Bus,18-25,Female,Night Stay,0,Rain,Good,2.03,1.68,0.496,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Bus,26-35,Female,Pilgrimage,0,Rain,Good,1.36,1.39,0.24,Low
Gangtok,Sikkim,City,1,Low,3,Day,Bike,46+,Male,Trekking,0,Clear,Good,2.43,2.26,0.334,Medium
Sandakphu,West Bengal,Trek Peak,4,High,2,Night,Bike,36-45,Female,Night Stay,0,Rain,Poor,7.76,0.58,1,Extreme
Manas National Park,Assam,Wildlife,4,High,5,Night,Cab,36-45,Male,Night Stay,1,Clear,Poor,10.8,0.48,1,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Cab,26-35,Male,Sightseeing,0,Clear,Good,1.53,2.29,0.141,Low
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,26-35,Female,Pilgrimage,1,Clear,Poor,9.52,1.37,0.894,Extreme
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,26-35,Female,Trekking,0,Rain,Poor,6.3,1.15,0.775,Extreme
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,18-25,Female,Sightseeing,0,Clear,Poor,8.67,1.34,0.647,High
Gangtok,Sikkim,City,1,Low,3,Night,Trekking,26-35,Male,Night Stay,0,Clear,Good,0.54,1.34,0.523,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Day,Cab,26-35,Female,Pilgrimage,0,Clear,Good,0.85,1.31,0.158,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Night,Cab,46+,Female,Night Stay,0,Clear,Poor,9.85,0.19,0.983,Extreme
Aizawl,Mizoram,City,1,Low,4,Night,Cab,36-45,Male,Night Stay,0,Clear,Good,1.64,2.97,0.416,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,26-35,Male,Sightseeing,0,Fog,Poor,5.79,1.26,0.7,High
Shillong,Meghalaya,Hill City,2,Low,2,Day,Bike,26-35,Female,Pilgrimage,0,Clear,Good,1.78,2.52,0.315,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Cab,18-25,Female,Night Stay,0,Clear,Good,1.95,0.61,0.378,Medium
Manas National Park,Assam,Wildlife,4,High,3,Day,Cab,18-25,Female,Sightseeing,0,Clear,Poor,10.11,1.45,0.741,High
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,1.37,0.95,0.128,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Night,Bus,18-25,Male,Night Stay,1,Clear,Poor,6.61,0.74,1,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Trekking,18-25,Female,Sightseeing,0,Clear,Good,2.18,2.68,0.269,Medium
Darjeeling,West Bengal,Hill Town,2,Low,2,Night,Bus,26-35,Male,Sightseeing,0,Clear,Good,2.33,1.3,0.392,Medium
Kohima,Nagaland,City,1,Low,5,Day,Bus,26-35,Female,Trekking,0,Rain,Good,1.89,1.98,0.226,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Cab,46+,Male,Night Stay,0,Clear,Good,1.54,0.87,0.377,Medium
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,26-35,Male,Night Stay,1,Clear,Poor,7.89,0.68,0.882,Extreme
Gangtok,Sikkim,City,1,Low,5,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,0.98,1.17,0.101,Low
Majuli Island,Assam,Island,3,Medium,3,Night,Trekking,26-35,Male,Pilgrimage,0,Fog,Moderate,2.06,2.36,0.769,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,26-35,Male,Pilgrimage,0,Clear,Poor,8.74,0.6,0.66,High
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,46+,Male,Pilgrimage,1,Rain,Poor,5.32,1.31,0.89,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Bus,36-45,Male,Trekking,0,Clear,Good,2.14,2.21,0.226,Low
Sandakphu,West Bengal,Trek Peak,4,High,3,Night,Cab,46+,Male,Night Stay,0,Clear,Poor,8.79,1,0.945,Extreme
Majuli Island,Assam,Island,3,Medium,2,Day,Cab,18-25,Male,Pilgrimage,0,Clear,Moderate,2.87,1.25,0.422,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,46+,Male,Sightseeing,0,Clear,Poor,8.75,0.5,0.667,High
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Cab,26-35,Male,Sightseeing,0,Clear,Good,1.39,2.49,0.17,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Cab,26-35,Male,Night Stay,0,Clear,Good,2.4,0.73,0.401,Medium
Manas National Park,Assam,Wildlife,4,High,4,Day,Cab,18-25,Male,Sightseeing,0,Clear,Poor,11.01,0.23,0.669,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Rain,Good,2.15,0.95,0.191,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Day,Bike,26-35,Female,Sightseeing,0,Rain,Good,1.85,1.46,0.395,Medium
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,36-45,Male,Sightseeing,0,Rain,Moderate,5.82,1.11,0.441,Medium
Gangtok,Sikkim,City,1,Low,4,Night,Bus,46+,Female,Trekking,0,Clear,Good,2.15,0.71,0.38,Medium
Majuli Island,Assam,Island,3,Medium,4,Night,Bus,18-25,Female,Trekking,0,Fog,Moderate,3.44,0.41,0.669,High
Gangtok,Sikkim,City,1,Low,3,Day,Trekking,18-25,Male,Sightseeing,0,Clear,Good,0.57,1.38,0.271,Medium
Kohima,Nagaland,City,1,Low,4,Night,Cab,46+,Male,Night Stay,0,Clear,Good,2.98,1.11,0.403,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Bus,26-35,Female,Night Stay,0,Clear,Moderate,3.68,1.31,0.442,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,2,Day,Bike,46+,Male,Pilgrimage,1,Clear,Poor,9.34,1.23,1,Extreme
Shillong,Meghalaya,Hill City,2,Low,4,Day,Bus,36-45,Female,Trekking,0,Fog,Good,2.34,2.08,0.284,Medium
Kohima,Nagaland,City,1,Low,4,Night,Bus,46+,Female,Pilgrimage,0,Clear,Good,0.95,2.42,0.338,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,2.08,1.11,0.14,Low
Aizawl,Mizoram,City,1,Low,5,Day,Cab,18-25,Female,Pilgrimage,0,Fog,Good,1.55,0.59,0.182,Low
Majuli Island,Assam,Island,3,Medium,3,Night,Trekking,18-25,Male,Night Stay,0,Clear,Moderate,4.59,2.42,0.799,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Trekking,18-25,Male,Night Stay,0,Clear,Good,1.05,1.44,0.527,High
Shillong,Meghalaya,Hill City,2,Low,2,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Good,2.85,0.85,0.201,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,2,Day,Cab,46+,Female,Pilgrimage,0,Clear,Good,0.61,2.28,0.2,Low
Kamakhya Temple,Assam,Temple,1,Low,4,Day,Bus,26-35,Male,Trekking,0,Clear,Good,2.49,2.07,0.189,Low
